Wall time,Step,Value
1562152984.1440055,937543,0.984375
1562152999.3732798,938567,0.9375
1562153006.0171242,939015,0.984375
1562153025.9768891,940359,1.0
1562153053.5454092,942215,0.953125
1562153073.515124,943559,0.953125
1562153084.9267454,944327,0.96875
1562153119.1654763,946631,0.984375
1562153129.6068792,947335,0.96875
1562153161.9173808,949511,1.0
1562153224.6545236,953735,0.96875
1562153228.4595137,953991,0.984375
1562153284.5211596,957767,1.0
1562153296.8848214,958599,0.984375
1562153319.7129276,960135,0.984375
1562153322.5767229,960327,0.96875
1562153708.4298043,964679,0.96875
1562153711.2932131,964871,0.984375
1562153723.7327583,965703,0.984375
1562153766.5685458,968583,1.0
1562153771.3086994,968903,1.0
1562153773.2054672,969031,0.984375
1562153776.038969,969223,0.984375
1562153785.5191367,969863,0.96875
1562153787.427494,969991,0.953125
1562153843.5779753,973767,0.984375
1562153849.291921,974151,1.0
1562153850.2471673,974215,0.96875
1562153860.7136452,974919,0.96875
1562153901.6257946,977671,1.0
1562153904.4808915,977863,0.96875
1562153949.1473856,980871,1.0
1562153951.0417852,980999,0.96875
1562153998.5590649,984199,1.0
1562154007.126109,984775,0.984375
1562154008.0781307,984839,1.0
1562154014.7637281,985287,0.984375
1562154028.0908062,986183,1.0
1562154066.1779416,988743,0.96875
1562154083.3028793,989895,0.96875
1562154089.9573538,990343,0.953125
1562154102.3103843,991175,0.984375
1562154121.3395443,992455,0.984375
1562154133.6860204,993287,0.984375
1562154140.343534,993735,0.984375
1562154162.193532,995207,0.96875
1562154163.148936,995271,0.984375
1562154166.9473455,995527,0.96875
1562154190.7150733,997127,0.96875
1562154217.3684988,998919,0.96875
1562154223.0691724,999303,1.0
1562154226.88035,999559,0.984375
1562154239.2236123,1000391,1.0
1562154241.1254218,1000519,0.921875
1562154272.4760933,1002631,0.984375
1562154282.9389012,1003335,0.984375
1562154438.25733,1005874,0.984375
1562154464.3491647,1007602,0.984375
1562154489.9704428,1009330,0.984375
1562154490.9120278,1009394,0.984375
1562154518.3636153,1011250,0.984375
1562154566.9106941,1014514,0.96875
1562154593.542491,1016306,0.984375
1562154620.1359696,1018098,0.96875
1562154630.5901556,1018802,0.984375
1562154658.1221473,1020658,0.953125
1562154659.074508,1020722,0.984375
1562154698.03533,1023346,0.953125
1562154744.637346,1026482,0.953125
1562154772.261728,1028338,1.0
1562154869.2302852,1034866,0.96875
1562154870.1760106,1034930,0.984375
1562154871.1298962,1034994,0.96875
1562154875.876669,1035314,0.96875
1562154886.3277256,1036018,0.96875
1562154901.5394034,1037042,1.0
